TestName,RunIndex,WhichNeuronsStuck,OriginalAccuracy,StuckTrainAccuracy
"Stuck-at-High-Specific",1,[0],95.31,92.19
"Stuck-at-High-Specific",2,[0],95.31,98.44
"Stuck-at-High-Specific",3,[0],95.31,87.50
"Stuck-at-High-Specific",4,[0],95.31,89.06
"Stuck-at-High-Specific",5,[0],95.31,95.31
"Stuck-at-High-Specific",1,[1],96.88,100.00
"Stuck-at-High-Specific",2,[1],96.88,93.75
"Stuck-at-High-Specific",3,[1],96.88,100.00
"Stuck-at-High-Specific",4,[1],96.88,98.44
"Stuck-at-High-Specific",5,[1],96.88,98.44
"Stuck-at-High-Specific",1,[2],98.44,90.62
"Stuck-at-High-Specific",2,[2],98.44,100.00
"Stuck-at-High-Specific",3,[2],98.44,96.88
"Stuck-at-High-Specific",4,[2],98.44,100.00
"Stuck-at-High-Specific",5,[2],98.44,93.75
"Stuck-at-High-Specific",1,[3],100.00,96.88
"Stuck-at-High-Specific",2,[3],100.00,93.75
"Stuck-at-High-Specific",3,[3],100.00,98.44
"Stuck-at-High-Specific",4,[3],100.00,98.44
"Stuck-at-High-Specific",5,[3],100.00,98.44
Stuck-at-High-Specific,1,[4],96.88,96.88
Stuck-at-High-Specific,2,[4],96.88,92.19
Stuck-at-High-Specific,3,[4],96.88,100.00
Stuck-at-High-Specific,4,[4],96.88,98.44
Stuck-at-High-Specific,5,[4],96.88,82.81
Stuck-at-High-Specific,1,[5],98.44,98.44
Stuck-at-High-Specific,2,[5],98.44,96.88
Stuck-at-High-Specific,3,[5],98.44,95.31
Stuck-at-High-Specific,4,[5],98.44,96.88
Stuck-at-High-Specific,5,[5],98.44,100.00
Stuck-at-High-Specific,1,[6],100.00,95.31
Stuck-at-High-Specific,2,[6],100.00,98.44
Stuck-at-High-Specific,3,[6],100.00,87.50
Stuck-at-High-Specific,4,[6],100.00,98.44
Stuck-at-High-Specific,5,[6],100.00,98.44
Stuck-at-High-Specific,1,[7],96.88,92.19
Stuck-at-High-Specific,2,[7],96.88,81.25
Stuck-at-High-Specific,3,[7],96.88,93.75
Stuck-at-High-Specific,4,[7],96.88,82.81
Stuck-at-High-Specific,5,[7],96.88,96.88
Stuck-at-High-Specific,1,"[2, 7]",98.44,95.31
Stuck-at-High-Specific,2,"[2, 7]",98.44,98.44
Stuck-at-High-Specific,3,"[2, 7]",98.44,73.44
Stuck-at-High-Specific,4,"[2, 7]",98.44,82.81
Stuck-at-High-Specific,5,"[2, 7]",98.44,70.31
Stuck-at-High-Specific,1,"[0, 3]",89.06,98.44
Stuck-at-High-Specific,2,"[0, 3]",89.06,98.44
Stuck-at-High-Specific,3,"[0, 3]",89.06,93.75
Stuck-at-High-Specific,4,"[0, 3]",89.06,100.00
Stuck-at-High-Specific,5,"[0, 3]",89.06,95.31
Stuck-at-High-Specific,1,"[1, 5]",89.06,85.94
Stuck-at-High-Specific,2,"[1, 5]",89.06,95.31
Stuck-at-High-Specific,3,"[1, 5]",89.06,76.56
Stuck-at-High-Specific,4,"[1, 5]",89.06,93.75
Stuck-at-High-Specific,5,"[1, 5]",89.06,87.50
Stuck-at-High-Specific,1,"[4, 7]",96.88,95.31
Stuck-at-High-Specific,2,"[4, 7]",96.88,95.31
Stuck-at-High-Specific,3,"[4, 7]",96.88,93.75
Stuck-at-High-Specific,4,"[4, 7]",96.88,93.75
Stuck-at-High-Specific,5,"[4, 7]",96.88,92.19
Stuck-at-High-Specific,1,"[7, 3, 5, 1]",92.19,79.69
Stuck-at-High-Specific,2,"[7, 3, 5, 1]",92.19,90.62
Stuck-at-High-Specific,3,"[7, 3, 5, 1]",92.19,89.06
Stuck-at-High-Specific,4,"[7, 3, 5, 1]",92.19,76.56
Stuck-at-High-Specific,5,"[7, 3, 5, 1]",92.19,81.25
